name,type,description,address,area,lat,lng,website,phone,email,openingHours,images
Yemisi Shyllon Museum of Art,MUSEUM,Expansive education-centred museum at Pan-Atlantic University focused on African materiality and cultural heritage. One of Nigeria's largest private art collections.,"Pan-Atlantic University, KM 52 Lekki Expressway, Ibeju-Lekki, Lagos",ISLAND,6.4342,3.9025,https://pau.edu.ng,+2349136012439,ysma@pau.edu.ng,"{""mon"":""10am-5pm"",""tue"":""10am-5pm"",""wed"":""10am-5pm"",""thu"":""10am-5pm"",""fri"":""10am-5pm"",""sat"":""10am-5pm"",""sun"":""closed""}","[""public/uploads/institutions/yemisi-shyllon-museum-of-art/image-1.png""]"
Randle Center,CULTURAL_SPACE,Historic cultural centre on Lagos Island featuring the John Randle Museum dedicated to Yoruba cultural heritage and history.,"Onikan Roundabout, Lagos Island, Lagos",ISLAND,6.4541,3.3947,,,,,[]
Red Door Gallery,ART_GALLERY,Contemporary art gallery in Victoria Island described as purveyors of unpredictable art. Hosts temporary exhibitions and permanent displays.,"51b Bishop Oluwole Street, Victoria Island, Lagos",ISLAND,6.4278,3.4171,https://reddoorgallery.com,+2349087333667,info@reddoorgallery.com,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}",[]
Alexis Gallery,ART_GALLERY,"Established contemporary art gallery showcasing paintings, drawings, mixed media and sculptures by Nigerian and international artists.","282 Akin Olugbade Street, Off Idowu Martins Street, Victoria Island, Lagos",ISLAND,6.4265,3.4145,https://alexisgalleries.com,+2348118777787,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}",[]
Ovuomaroro Studio and Gallery,STUDIO,Studio and permanent gallery for celebrated Nigerian artist Bruce Onobrakpeya's works. A significant space for printmaking and cultural heritage.,"41 Oloje Street, Papa-Ajao, Mushin, Lagos",MAINLAND,6.5358,3.3625,,+2348060795466,,"{""mon"":""10am-5pm"",""tue"":""10am-5pm"",""wed"":""10am-5pm"",""thu"":""10am-5pm"",""fri"":""10am-5pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Hourglass Gallery,ART_GALLERY,Established gallery founded in 1996 by Dozie Igweze hosting temporary exhibitions and permanent displays of contemporary Nigerian art.,"979 Saka Jojo Street, Victoria Island, Lagos",ISLAND,6.4328,3.4201,https://hourglassgallery.com,+2348033016103,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}",[]
Henrimoweta African Art Center,ART_GALLERY,Gallery dedicated to African art by Henri Moweta with locations in Anthony Village and Victoria Island.,"7 Adebayo Mokuolu Street, Opposite Hotel Newcastle, Anthony Village, Lagos",MAINLAND,6.5622,3.3589,,+2347033974949,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Moca Lagos,MUSEUM,Museum of Contemporary Art Lagos hosting temporary exhibitions of cutting-edge contemporary art in Eti-Osa.,"Near Mopo Akinlade Road, Eti-Osa, Lagos",ISLAND,6.4428,3.5012,,+2347017012659,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}",[]
AMG Projects,ART_GALLERY,Contemporary art gallery space in Lekki Phase 1 hosting temporary exhibitions by Nigerian and African artists.,"24 Rasheed Alaba Williams, Lekki Phase 1, Lagos",ISLAND,6.4501,3.4778,https://amgprojects.art,+2347041005222,info@amgprojects.art,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}",[]
Mydrim Gallery,ART_GALLERY,Established gallery in Ikoyi by Sinmidele Ogunsanya hosting temporary exhibitions and permanent displays of contemporary and traditional Nigerian art.,"74B Norman Williams Street, Ikoyi, Lagos",ISLAND,6.4501,3.4318,https://mydrimgallery.com,+2348051832375,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Nimbus Gallery,ART_GALLERY,Long-established gallery opened 1991 in Ikoyi by Chike Nwagbogu. Hosts temporary exhibitions of contemporary and modern Nigerian art.,"9 Maitama Sule Street, Off Awolowo Road, South-West Ikoyi, Lagos",ISLAND,6.4436,3.4240,https://nimbusgallery.com,+2349028130421,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Quintessence Gallery,ART_GALLERY,Established gallery in the Parkview Estate Ikoyi neighbourhood hosting temporary exhibitions and permanent displays of fine art.,"First Compound on the right, Parkview Estate Main Gate, Off Gerrard Road, Ikoyi, Lagos",ISLAND,6.4578,3.4412,https://quintessenceltd.com,+2348033275401,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}","[""public/uploads/institutions/quintessence-gallery/image-1.jpg"",""public/uploads/institutions/quintessence-gallery/image-2.webp""]"
Arthouse Contemporary,ART_GALLERY,Contemporary art gallery and auction house in Ikoyi founded by Kavita Chellaram. One of Nigeria's leading auction platforms.,"36 Cameron Road, Ikoyi, Lagos",ISLAND,6.4468,3.4198,https://arthouse-ng.com,+2348055099096,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}","[""public/uploads/institutions/arthouse-contemporary/image-1.jpg"",""public/uploads/institutions/arthouse-contemporary/image-2.png""]"
Affinity Gallery,ART_GALLERY,Contemporary art gallery in Lagos showcasing works by emerging and established Nigerian artists.,"Victoria Island, Lagos",ISLAND,6.4289,3.4195,,,,,[]
SMO Contemporary Art,ART_GALLERY,Contemporary art gallery with locations at The Wheatbaker Hotel in Ikoyi and Temple Muse in Victoria Island.,"4 Onitolo Road (former Lawrence Road), Ikoyi, Lagos",ISLAND,6.4462,3.4278,https://smocontemporaryart.com,+2348099977552,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}","[""public/uploads/institutions/smo-contemporary-art/image-1.jpg""]"
Alliance Francaise,CULTURAL_SPACE,"French cultural institute hosting contemporary art exhibitions, film screenings, language courses and cultural events in Lagos.","10 Eleke Crescent, Victoria Island, Lagos",ISLAND,6.4302,3.4178,https://www.institutfrancais-nigeria.com,+23412621004,,"{""mon"":""8am-7pm"",""tue"":""8am-7pm"",""wed"":""8am-7pm"",""thu"":""8am-7pm"",""fri"":""8am-7pm"",""sat"":""9am-5pm"",""sun"":""closed""}",[]
Goethe Institut Lagos,CULTURAL_SPACE,"German cultural institute hosting exhibitions, film screenings, and cultural programmes at Lagos City Hall.","Lagos City Hall, Catholic Mission Street, Lagos Island, Lagos",ISLAND,6.4537,3.3947,https://www.goethe.de/ins/ng/en/index.html,+23414549515,,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""closed"",""sun"":""closed""}",[]
Jelosimi Art Center,CULTURAL_SPACE,Art learning centre in Oshodi offering permanent displays and learning sessions for visual arts.,"13 Arowojobe Street, Oshodi, Lagos",MAINLAND,6.5568,3.3482,,+2348135513125,info@jelosimiartcenter.com,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""9am-3pm"",""sun"":""closed""}",[]
Habitude Gallery,ART_GALLERY,Art gallery in Ikeja GRA showcasing works by Nigerian contemporary artists.,"31 Isaac John Street, Ikeja GRA, Lagos",MAINLAND,6.5968,3.3418,,+2348035029231,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Baroyet Art Studio,STUDIO,Art studio and gallery in Lekki Phase 1 featuring permanent displays and original artworks by Nigerian artists.,"16 Omorinre-Johnson Street, Lekki Phase 1, Lagos",ISLAND,6.4572,3.4802,https://baroyet.com,+2348032168019,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Biodun Omolayo Gallery,ART_GALLERY,Gallery by Biodun Omolayo located in The City Mall in Onikan. Specialises in Nigerian contemporary and traditional art.,"2nd Floor, The City Mall, Opposite Muson Centre, Onikan, Lagos",ISLAND,6.4542,3.3945,https://biodunomolayo-artgallery.com,+2348023118105,,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-7pm"",""sun"":""closed""}",[]
DIDI Museum,MUSEUM,Museum in Victoria Island hosting temporary exhibitions of Nigerian and African art and cultural artefacts.,"175 Akin Adesola Street, Victoria Island, Lagos",ISLAND,6.4312,3.4225,,+2348027858094,,"{""mon"":""10am-5pm"",""tue"":""10am-5pm"",""wed"":""10am-5pm"",""thu"":""10am-5pm"",""fri"":""10am-5pm"",""sat"":""10am-4pm"",""sun"":""closed""}",[]
Signature Beyond,ART_GALLERY,Gallery on Awolowo Road Ikoyi by Rahman Akar featuring permanent displays of fine art and design.,"107 Awolowo Road, Ikoyi, Lagos",ISLAND,6.4451,3.4245,https://signaturebeyond.com,+2348033177676,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Abstract Strokes,ART_GALLERY,Art gallery in the VGC Lekki shopping complex featuring permanent displays of contemporary Nigerian art.,"Suite H209/210, Ikota Shopping Complex, VGC, Lekki, Lagos",ISLAND,6.4378,3.5412,,+2348033328306,,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-7pm"",""sun"":""12pm-6pm""}",[]
Ogirikan Art Gallery,ART_GALLERY,Contemporary African art space in Ikoyi making quality artwork accessible to collectors and enthusiasts. Located on Raymond Njoku Street.,"Raymond Njoku Street, Ikoyi, Lagos",ISLAND,6.4462,3.4278,,,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Sachs Gallery,ART_GALLERY,Art gallery in Lekki Phase 1 by Bernie Umeri-Mjalli featuring permanent displays of fine art.,"6 Admiralty Road, Lekki Phase 1, Lagos",ISLAND,6.4531,3.4782,,+2348033100306,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Strip of Gaza Gallery,ART_GALLERY,Art gallery in Magodo by Chigaza Hanum featuring permanent displays of Nigerian contemporary art.,"9 Joy Akugo Close, Magodo, Lagos",MAINLAND,6.6028,3.3762,,+2348023662902,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Tribes Art Africa,ART_GALLERY,"Gallery specialising in traditional and contemporary African tribal art, located off the Lekki-Epe Expressway.","2 Wasiu Ibrahim Close, Off Adeba Road, Lekki-Epe Expressway, Lagos",ISLAND,6.4578,3.5168,https://tribesartafrica.com,+2348033074428,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[]
Freedom Park,CULTURAL_SPACE,"Historic cultural space and museum on the old colonial prison grounds off Broad Street Lagos Island. Hosts art exhibitions, concerts and events.","1 Hospital Road, Old Prison Ground, Lagos Island, Lagos",ISLAND,6.4538,3.3882,,+2348095006570,,"{""mon"":""10am-10pm"",""tue"":""10am-10pm"",""wed"":""10am-10pm"",""thu"":""10am-10pm"",""fri"":""10am-10pm"",""sat"":""10am-10pm"",""sun"":""10am-10pm""}",[]
Guest Artists Space Foundation (GAS),FOUNDATION,Artist residency and foundation supporting contemporary art practice in Lagos.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Centre for Contemporary Art (CCA),INSTITUTE,"Independent non-profit visual art organization founded in 2007 by Bisi Silva. Specialises in experimental media, photography, film and performance art. Reopened 2025 after major renovation.","9 McEwen Street, Sabo, Yaba, Lagos",MAINLAND,6.5018,3.3892,https://ccalagos.org,+2348036596346,info@ccalagos.org,"{""mon"":""closed"",""tue"":""closed"",""wed"":""12pm-6pm"",""thu"":""closed"",""fri"":""12pm-6pm"",""sat"":""12pm-6pm"",""sun"":""closed""}",[]
Art House Foundation,FOUNDATION,"Non-profit artist residency programme in Lagos supporting contemporary Nigerian and African artists, founded by Kavita Chellaram in 2015.","36 Cameron Road, Ikoyi, Lagos",ISLAND,6.4468,3.4198,https://arthouse-ng.com,+2348055099096,,,"[""public/uploads/institutions/art-house-foundation/image-1.jpg"",""public/uploads/institutions/art-house-foundation/image-2.png""]"
African Artists Foundation,FOUNDATION,Non-profit foundation in Victoria Island dedicated to promoting and supporting African artists through programmes and exhibitions.,"3b Isiola Oyekan Close, Off Kofo Abayomi Street, Victoria Island, Lagos",ISLAND,6.4278,3.4142,https://africanartists.org,+2348097713079,,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""closed"",""sun"":""closed""}",[]
National Museum Lagos,MUSEUM,Historic national museum in Onikan preserving Nigerian cultural heritage through permanent and temporary exhibitions.,"Onikan Road, Onikan, Lagos Island, Lagos",ISLAND,6.4541,3.3945,,,,"{""mon"":""9am-4pm"",""tue"":""9am-4pm"",""wed"":""9am-4pm"",""thu"":""9am-4pm"",""fri"":""9am-4pm"",""sat"":""9am-4pm"",""sun"":""9am-4pm""}",[]
Badagry Heritage Museum,MUSEUM,"Museum preserving the history of the pre-colonial slave trade and local cultural heritage in Badagry, Lagos State.","Badagry, Lagos",OTHER,6.4165,2.8801,,,,,[]
Mobee Museum,MUSEUM,Museum in Badagry focused on the history and heritage of the Mobee family and the slave trade era.,"Badagry, Lagos",OTHER,6.4182,2.8812,,,,,[]
StudioDADAS,STUDIO,Contemporary art studio and creative space in Lagos supporting experimental art practice.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Wunika Mukan,ART_GALLERY,Contemporary art gallery in Lagos showcasing works by emerging Nigerian artists.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Pendulum Art Gallery,ART_GALLERY,Contemporary art gallery in Lagos hosting exhibitions of Nigerian art.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Kokopelli Gallery,ART_GALLERY,Contemporary gallery in Lagos showcasing fine art and cultural works.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
16by16,ART_GALLERY,Contemporary art space in Lagos known for curated exhibitions of emerging artists.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
A White Space,ART_GALLERY,Minimalist contemporary art gallery in Lagos providing a clean and focused exhibition environment.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
UNTITLED,ART_GALLERY,Contemporary art gallery and creative space in Lagos hosting innovative exhibitions.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Angels and Muse,ART_GALLERY,Art gallery in Lagos showcasing works by Nigerian contemporary artists.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
TCA Gallery,ART_GALLERY,Contemporary art gallery in Lagos hosting exhibitions of Nigerian and African art.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Fresco Gallery,ART_GALLERY,Contemporary art gallery in Lagos featuring exhibitions of fine art and design.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
AINA Gallery,ART_GALLERY,Art gallery in Lagos showcasing works by Nigerian artists.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Yusuf Grillo Gallery,ART_GALLERY,Gallery celebrating the legacy and works of legendary Nigerian modernist artist Professor Yusuf Grillo.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
MadhousebyTikera,STUDIO,Creative studio and art space in Lagos hosting exhibitions and events.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
Obodo,INSTITUTE,Contemporary art institute and residency space in Lagos supporting experimental art practice.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
R2 Space,STUDIO,Creative art space in Lagos providing studio and exhibition facilities for artists.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
KAP Hub,CULTURAL_SPACE,Arts and creative hub in Lagos supporting emerging artists and cultural programming.,"Lagos, Nigeria",OTHER,6.5244,3.3792,,,,,[]
