name,description,type,address,google_maps_url,area,sub_area,lat,lng,website,instagram,phone,email,openingHours
Rele Gallery,Dynamic contemporary art gallery founded by Adenrele Sonariwo in 2015. Known for championing emerging African artists with international reach including spaces in London and LA.,Art Galleries,"32 Thompson Avenue, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Rele%20Gallery%2C%2032%20Thompson%20Avenue%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4562502,3.4350817,https://www.rele.co,@relegallery,2348093215460,,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}"
SMO Contemporary Art,Contemporary art gallery with locations at The Wheatbaker Hotel in Ikoyi and Temple Muse in Victoria Island.,Art Galleries,"4 Onitolo Road (former Lawrence Road), Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=SMO%20Contemporary%20Art%2C%204%20Onitolo%20Road%20%28former%20Lawrence%20Road%29%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4528511,3.4451141,https://smocontemporaryart.com,@smocontemporaryart,2348099977552,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}"
Signature Beyond,Gallery on Awolowo Road Ikoyi by Rahman Akar featuring permanent displays of fine art and design.,Art Galleries,"107 Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Signature%20Beyond%2C%20107%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4433036,3.4214641,https://signaturebeyond.com,@signatureandsogal,2348033177676,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Soto Gallery,SOTO Gallery is a contemporary art gallery and community-centered creative space in Ikoyi founded by interior designer Tola Akerele in September 2022; curates the +234Art Fair and runs an artist residency programme.,Art Galleries,"10 Omo Osagie Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Soto%20Gallery%2C%2010%20Omo%20Osagie%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4462468,3.4233187,https://sotogallery.org,@sotogallery,+2348162889248,info@sotogallery.org,Tue-Sat 11am-6pm
Suudu Lagos,"A members-only creative/social club in Ikoyi hosting art, music, and culture events (listening parties, pop-up markets, curated “Open Parlour” sessions).",Art Hubs/Institutions,"10 Raymond Njoku St, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Suudu%20Lagos%2C%2010%20Raymond%20Njoku%20St%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4429272,3.4244116,,@suudulagos,,,
The Treehouse Lagos,"Artist-led experimental space for artistic research, performance and radical creative practice, founded by artist Wura-Natasha Ogunji in 2018, located on the 7th floor of a YMCA building in Ikoyi.",Art Hubs/Institutions,"7th floor, YMCA Building, 77 Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=The%20Treehouse%20Lagos%2C%207th%20floor%2C%20YMCA%20Building%2C%2077%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4418773,3.4159386,https://treehouselagos.com,@treehouselagos,,,By appointment/programme-based
The Wheatbaker,"Boutique hotel in Ikoyi, opened 2011 as Nigeria's first ""art hotel""; contemporary African art displayed throughout its public spaces, curated in partnership with Bloom Art, with exhibitions rotated every 2-3 months.",Art Hubs/Institutions,"4 Onitolo (Lawrence) Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=The%20Wheatbaker%2C%204%20Onitolo%20%28Lawrence%29%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4533863,3.4458239,https://thewheatbakerlagos.com,@officiallywheatbaker,+2349164359466,,24hr hotel
Thought Pyramid Art Center,"Innovative multi-floor art gallery and cultural hub founded in 2007 by Jeff Ajeushi. Features paintings, sculptures, installations and a restaurant. Located in a distinctive pyramid-style building.",Art Galleries,"96 Norman Williams Street, South West Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Thought%20Pyramid%20Art%20Center%2C%2096%20Norman%20Williams%20Street%2C%20South%20West%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4442311,3.4162518,https://thoughtpyramidartcentre.com,@thoughtpyramidlagos_,2349060008531,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""1pm-6pm"",""sun"":""closed""}"
Treasure House Fine Arts,"Established gallery in Ikoyi, Lagos operating since 1982, showcasing original Nigerian paintings and artworks; one of Ikoyi's prominent fine-art destinations.",Art Galleries,"130 Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Treasure%20House%20Fine%20Arts%2C%20130%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4423696,3.4194223,https://treasurehousefinearts.com,,+2348027172478,,
Museum Of Contemporary Art (Moca) Lagos,Museum of Contemporary Art Lagos hosting temporary exhibitions of cutting-edge contemporary art in Eti-Osa.,Museums,"Okun-Ajah Road, Lekki, Lagos",https://www.google.com/maps/search/?api=1&query=Museum%20Of%20Contemporary%20Art%20%28Moca%29%20Lagos%2C%20Okun-Ajah%20Road%2C%20Lekki%2C%20Lagos,ISLAND,Lekki,6.4266435,3.5955839,,@mocalagos9ja,2347017012659,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}"
Biodun Omolayo Gallery,Gallery by Biodun Omolayo located in The City Mall in Onikan. Specialises in Nigerian contemporary and traditional art.,Art Galleries,"2nd Floor, The City Mall, Opposite Muson Centre, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Biodun%20Omolayo%20Gallery%2C%202nd%20Floor%2C%20The%20City%20Mall%2C%20Opposite%20Muson%20Centre%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.4442111,3.4021695,https://biodunomolayo-artgallery.com,@omolayogallery,2348023118105,,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-7pm"",""sun"":""closed""}"
Freedom Park,"Historic cultural space and museum on the old colonial prison grounds off Broad Street Lagos Island. Hosts art exhibitions, concerts and events.",Art Hubs/Institutions,"1 Hospital Road, Old Prison Ground, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Freedom%20Park%2C%201%20Hospital%20Road%2C%20Old%20Prison%20Ground%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4488993,3.3965146,,@freedomparklagos,2348095006570,,"{""mon"":""10am-10pm"",""tue"":""10am-10pm"",""wed"":""10am-10pm"",""thu"":""10am-10pm"",""fri"":""10am-10pm"",""sat"":""10am-10pm"",""sun"":""10am-10pm""}"
Gemini Art Gallery,"Long-established private art gallery in Onikan founded by Raphael Akinnire, showcasing paintings, sculptures, and carved wood works from Nigerian artists.",Art Galleries,"27/29 Kings George V Road, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Gemini%20Art%20Gallery%2C%2027/29%20Kings%20George%20V%20Road%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.446735,3.4055143,https://geminiart27.com,@geminiartsgallery,+2348023936743,Raphola2000@yahoo.com,Mon-Sat 9am-7pm
Goethe Institut Lagos,"German cultural institute hosting exhibitions, film screenings, and cultural programmes at Lagos City Hall.",Art Hubs/Institutions,"7, Anifowoshe Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Goethe%20Institut%20Lagos%2C%207%2C%20Anifowoshe%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.433577499999999,3.4153034,https://www.goethe.de/ins/ng/en/index.html,@gi_nigeria,23414549515,,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""closed"",""sun"":""closed""}"
National Museum Lagos,Historic national museum in Onikan preserving Nigerian cultural heritage through permanent and temporary exhibitions.,Museums,"Onikan Road, Onikan, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=National%20Museum%20Lagos%2C%20Onikan%20Road%2C%20Onikan%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4442681,3.4036542,,@nationalmuseum_lagos,,,"{""mon"":""9am-4pm"",""tue"":""9am-4pm"",""wed"":""9am-4pm"",""thu"":""9am-4pm"",""fri"":""9am-4pm"",""sat"":""9am-4pm"",""sun"":""9am-4pm""}"
Pada Lagos,"A guesthouse and cultural event space on Lagos Island combining accommodation with a creative programming arm (""PARC"") for talks, exhibitions and community gatherings.",Art Hubs/Institutions,"27 Boyle Street, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Pada%20Lagos%2C%2027%20Boyle%20Street%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4458,3.4053369,https://www.padalagos.com,@padalagos,,,
John Randle Centre,Historic cultural centre on Lagos Island featuring the John Randle Museum dedicated to Yoruba cultural heritage and history.,Art Hubs/Institutions,"Onikan Roundabout, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Randle%20Center%2C%20Onikan%20Roundabout%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4433869,3.4027978,,@jrandlecentre,,,
Truview Art and Frames Gallery,"Permanent-display art and frames gallery in the City Mall, Onikan, run by Juwon Olusanya. Note: a 2019 news article listed it among Lagos galleries reported closed/gone virtual-only — current operating status has not been independently reconfirmed.",Art Galleries,"Shop F15, City Mall, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Truview%20Art%20and%20Frames%20Gallery%2C%20Shop%20F15%2C%20City%20Mall%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.44405,3.40264,http://www.truviewartgallery.com,,8033228098,jolusanya@hotmail.com,
AMG Projects,Contemporary art gallery space in Lekki Phase 1 hosting temporary exhibitions by Nigerian and African artists.,Art Galleries,"24 Rasheed Alaba Williams, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=AMG%20Projects%2C%2024%20Rasheed%20Alaba%20Williams%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4433627,3.4622406,https://amgprojects.art,@amgprojects.art,2347041005222,info@amgprojects.art,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}"
Awizzy Online Art Gallery,"Online-oriented art gallery/studio run by visual artist Ayeola Ayodeji Abiodun (""Awizzy""), based in Ajah; sells paintings, portraits, drawings, sculptures, graphics, with delivery for buyers who cannot visit.",Art Galleries,"No 5, Kasim Momodu Street, Ajah, Lagos",https://www.google.com/maps/search/?api=1&query=Awizzy%20Online%20Art%20Gallery%2C%20No%205%2C%20Kasim%20Momodu%20Street%2C%20Ajah%2C%20Lagos,ISLAND,Lekki,6.4673534,3.5924291,http://www.awizzy.net,@ayeolaayodeji,+2347039409847,info@awizzy.net,
CeraCerni's Art Hub,"Lagos' largest creative-experience studio offering sip & paint, pottery, tufting and other guided art activities, plus an on-site cafe (The Palette) and rentable event halls.",Art Hubs/Institutions,"65B Akintunde Adeyemi Drive, off Adewole Kuku, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=CeraCerni%27s%20Art%20Hub%2C%2065B%20Akintunde%20Adeyemi%20Drive%2C%20off%20Adewole%20Kuku%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4419939,3.480569,https://www.ceracerniarthub.com,@ceracerni_arthub,+2348061176101,,"{""mon"":""11am-9pm"",""tue"":""11am-9pm"",""wed"":""11am-9pm"",""thu"":""11am-9pm"",""fri"":""11am-9pm"",""sat"":""11am-9pm"",""sun"":""1pm-9pm""}"
Fobally Art World Africa,Contemporary African art gallery and online marketplace in Lekki connecting African artists (including modern-era masters and emerging talent) with collectors; also runs an art foundation and school art competitions.,Art Galleries,"3 Obi Achebe Drive, Ikate, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Fobally%20Art%20World%20Africa%2C%203%20Obi%20Achebe%20Drive%2C%20Ikate%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4263923,3.4787317,https://foballyartworld.com,@foballyartworld_africa,8149313658,onboarding@foballyartworld.com,
Iwalewa Gallery of Arts,"Three-floor contemporary African art gallery in Lekki Phase 1 founded by artist/curator Femi Williams, with a large collection and an attached restaurant/bar. Distinct from the Iwalewahaus in Bayreuth, Germany.",Art Galleries,"29A Chris Madueke Drive, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Iwalewa%20Gallery%20of%20Arts%2C%2029A%20Chris%20Madueke%20Drive%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4408081,3.4613684,https://iwalewagallery.com,@iwalewagalleryofart,+2348063759134,info@iwalewagallery.com,
Lekki Art Market,"Open-air market (also called Jakande Market / Oba Elegushi Market) where independent vendors sell African arts and crafts: paintings, sculptures, wood and metal works, textiles, jewelry.",Art Hubs/Institutions,"Oba Elegushi Street, off Lekki-Epe Expressway (between 4th and 5th Roundabout), Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Lekki%20Art%20Market%2C%20Oba%20Elegushi%20Street%2C%20off%20Lekki-Epe%20Expressway%20%28between%204th%20and%205th%20Roundabout%29%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4342187,3.5058731,,@lekkiartmarket,,,Daily ~9am-6pm (verify)
Nike Art Gallery,"West Africa's largest art gallery owned by Chief Nike Davies-Okundaye, housing over 8000 artworks across five floors. Offers workshops, cultural performances, and bed & breakfast.",Art Galleries,"2 Nike Art Gallery Rd, Lekki Phase I, Lagos",https://www.google.com/maps/search/?api=1&query=Nike%20Art%20Gallery%2C%202%20Nike%20Art%20Gallery%20Rd%2C%20Lekki%20Phase%20I%2C%20Lagos,ISLAND,Lekki,6.4315071,3.4818389,https://nikeartfoundation.com,@nikeartgallery,2348033036969,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""1pm-6pm""}"
Olori Art Foundation,"Multi-level creative hub in Lekki founded in 2021 by Aina Davies, combining an art gallery, cafe, and workshop space (painting, Adire, craft).",Art Hubs/Institutions,"139 Josemaria Escriva St, Lekki, Lagos 106104 (behind Nike Art Gallery)",https://www.google.com/maps/search/?api=1&query=Olori%20Art%20Foundation%2C%20139%20Josemaria%20Escriva%20St%2C%20Lekki%2C%20Lagos%20106104%20%28behind%20Nike%20Art%20Gallery%29,ISLAND,Lekki,6.4311701,3.4813254,https://www.oloriart.com,@olori.art,8039904544,,
Pendulum Art Gallery,"Long-running Lagos gallery (opened late 1990s) focused on culture and development, hosting exhibitions and events tied to art and visual culture.",Art Galleries,"7 Unity Close, Off Admiralty Road, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Pendulum%20Art%20Gallery%2C%207%20Unity%20Close%2C%20Off%20Admiralty%20Road%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4538665,3.470212,,@gallerypendulum,+2341 2705968,,
Sachs Gallery,Art gallery in Lekki Phase 1 by Bernie Umeri-Mjalli featuring permanent displays of fine art.,Art Galleries,"6 Admiralty Road, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Sachs%20Gallery%2C%206%20Admiralty%20Road%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4571294,3.4709133,,@sachsgallery,2348033100306,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Tribes Art Africa,"Gallery specialising in traditional and contemporary African tribal art, located off the Lekki-Epe Expressway.",Art Galleries,"2 Wasiu Ibrahim Close, Off Adeba Road, Lekki-Epe Expressway, Lagos",https://www.google.com/maps/search/?api=1&query=Tribes%20Art%20Africa%2C%202%20Wasiu%20Ibrahim%20Close%2C%20Off%20Adeba%20Road%2C%20Lekki-Epe%20Expressway%2C%20Lagos,ISLAND,Lekki,6.4654577,3.7311012,https://tribesartafrica.com,@tribesartafrica,2348033074428,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Watersworth Gallery,Art gallery/broker in Lekki Phase 1 connecting Nigerian and African artists with collectors.,Art Galleries,"3B Unity Close, off Africa Lane, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Watersworth%20Gallery%2C%203B%20Unity%20Close%2C%20off%20Africa%20Lane%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4561425,3.4734671,http://www.watersworthart.com,,+2348099990921,,
Wunika Mukan,"Contemporary art gallery founded in 2020 by Wunika Mukan (formerly Pacers gallery space), representing African and diaspora artists and exhibiting at ART X Lagos.",Art Galleries,"31b Bashorun R.I. Okusanya Avenue, Lekki Phase 1, Lagos 105102",https://www.google.com/maps/search/?api=1&query=Wunika%20Mukan%2C%2031b%20Bashorun%20R.I.%20Okusanya%20Avenue%2C%20Lekki%20Phase%201%2C%20Lagos%20105102,ISLAND,Lekki,6.4484968,3.471622,https://wunikamukangallery.com,@wunikamukangallery,+2348099921206,,Tue-Sun 11am-6pm
Yato Art In Autism Gallery,"Gallery/shop run by the Spotlight African Network, an autism-awareness initiative that organizes ""Art in Autism"" festivals and sells art by artists on the autism spectrum, also operating an online shop at yatoart.org/shop.",Art Galleries,"Marshy Hill Estate, 17 Omoba Bade St, off Akins Bus Stop, Eti-Osa, Lekki 106104, Lagos",https://www.google.com/maps/search/?api=1&query=Yato%20Art%20In%20Autism%20Gallery%2C%20Marshy%20Hill%20Estate%2C%2017%20Omoba%20Bade%20St%2C%20off%20Akins%20Bus%20Stop%2C%20Eti-Osa%2C%20Lekki%20106104%2C%20Lagos,ISLAND,Lekki,6.4870807,3.5813008,https://www.yatoart.org,,+2348139057077,,
