name,type,description,address,google_maps_url,area,sub_area,lat,lng,website,phone,email,openingHours,images,geocode_status
Rele Gallery,Art Galleries,Dynamic contemporary art gallery founded by Adenrele Sonariwo in 2015. Known for championing emerging African artists with international reach including spaces in London and LA.,"32 Thompson Avenue, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Rele%20Gallery%2C%2032%20Thompson%20Avenue%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.456250199999999,3.4350817,https://www.rele.co,2348093215460.0,,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}",[],Success (Google)
Signature Beyond,Art Galleries,Gallery on Awolowo Road Ikoyi by Rahman Akar featuring permanent displays of fine art and design.,"107 Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Signature%20Beyond%2C%20107%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4433036,3.4214641,https://signaturebeyond.com,2348033177676.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[],Success (Google)
SMO Contemporary Art,Art Galleries,Contemporary art gallery with locations at The Wheatbaker Hotel in Ikoyi and Temple Muse in Victoria Island.,"4 Onitolo Road (former Lawrence Road), Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=SMO%20Contemporary%20Art%2C%204%20Onitolo%20Road%20%28former%20Lawrence%20Road%29%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4528511,3.4451141,https://smocontemporaryart.com,2348099977552.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}","[""public/uploads/institutions/smo-contemporary-art/image-1.jpg""]",Success (Google)
Soto Gallery,Art Galleries,SOTO Gallery is a contemporary art gallery and community-centered creative space in Ikoyi founded by interior designer Tola Akerele in September 2022; curates the +234Art Fair and runs an artist residency programme.,"10 Omo Osagie Street, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Soto%20Gallery%2C%2010%20Omo%20Osagie%20Street%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4462468,3.4233187,https://sotogallery.org,+2348162889248,info@sotogallery.org,Tue-Sat 11am-6pm,[],Success (Google)
The Treehouse Lagos,Art Hubs/Institutions,"Artist-led experimental space for artistic research, performance and radical creative practice, founded by artist Wura-Natasha Ogunji in 2018, located on the 7th floor of a YMCA building in Ikoyi.","7th floor, YMCA Building, 77 Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=The%20Treehouse%20Lagos%2C%207th%20floor%2C%20YMCA%20Building%2C%2077%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4418773,3.4159386,https://treehouselagos.com,,,By appointment/programme-based,[],Success (Google)
The Wheatbaker,Art Hubs/Institutions,"Boutique hotel in Ikoyi, opened 2011 as Nigeria's first ""art hotel""; contemporary African art displayed throughout its public spaces, curated in partnership with Bloom Art, with exhibitions rotated every 2-3 months.","4 Onitolo (Lawrence) Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=The%20Wheatbaker%2C%204%20Onitolo%20%28Lawrence%29%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4533863,3.4458239,https://thewheatbakerlagos.com,+2349164359466,,24hr hotel,[],Success (Google)
Thought Pyramid Art Center,Art Galleries,"Innovative multi-floor art gallery and cultural hub founded in 2007 by Jeff Ajeushi. Features paintings, sculptures, installations and a restaurant. Located in a distinctive pyramid-style building.","96 Norman Williams Street, South West Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Thought%20Pyramid%20Art%20Center%2C%2096%20Norman%20Williams%20Street%2C%20South%20West%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4442311,3.4162518,https://thoughtpyramidartcentre.com,2349060008531.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""1pm-6pm"",""sun"":""closed""}",[],Success (Google)
Treasure House Fine Arts,Art Galleries,"Established gallery in Ikoyi, Lagos operating since 1982, showcasing original Nigerian paintings and artworks; one of Ikoyi's prominent fine-art destinations.","130 Awolowo Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Treasure%20House%20Fine%20Arts%2C%20130%20Awolowo%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.4423696,3.4194223,https://treasurehousefinearts.com,+2348027172478,,,[],Success (Google)
Moca Lagos,Museums,Museum of Contemporary Art Lagos hosting temporary exhibitions of cutting-edge contemporary art in Eti-Osa.,"Near Mopo Akinlade Road, Eti-Osa, Lagos",https://www.google.com/maps/search/?api=1&query=Moca%20Lagos%2C%20Near%20Mopo%20Akinlade%20Road%2C%20Eti-Osa%2C%20Lagos,ISLAND,Island,6.4266754,3.6196576,,2347017012659.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}",[],Success (Google)
Biodun Omolayo Gallery,Art Galleries,Gallery by Biodun Omolayo located in The City Mall in Onikan. Specialises in Nigerian contemporary and traditional art.,"2nd Floor, The City Mall, Opposite Muson Centre, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Biodun%20Omolayo%20Gallery%2C%202nd%20Floor%2C%20The%20City%20Mall%2C%20Opposite%20Muson%20Centre%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.4442111,3.4021695,https://biodunomolayo-artgallery.com,2348023118105.0,,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-7pm"",""sun"":""closed""}",[],Success (Google)
Framemaster Limited,Art Galleries,"Picture-framing and art-supplies business in Onikan managed by Alex Nwokolo, which also maintains a permanent display of artworks and has hosted temporary exhibitions.","13 King George V Road, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Framemaster%20Limited%2C%2013%20King%20George%20V%20Road%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.446013,3.405628,,08034049839,,,[],Success (Google)
Freedom Park,Art Hubs/Institutions,"Historic cultural space and museum on the old colonial prison grounds off Broad Street Lagos Island. Hosts art exhibitions, concerts and events.","1 Hospital Road, Old Prison Ground, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Freedom%20Park%2C%201%20Hospital%20Road%2C%20Old%20Prison%20Ground%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4488993,3.3965146,,2348095006570.0,,"{""mon"":""10am-10pm"",""tue"":""10am-10pm"",""wed"":""10am-10pm"",""thu"":""10am-10pm"",""fri"":""10am-10pm"",""sat"":""10am-10pm"",""sun"":""10am-10pm""}",[],Success (Google)
Gemini Art Gallery,Art Galleries,"Long-established private art gallery in Onikan founded by Raphael Akinnire, showcasing paintings, sculptures, and carved wood works from Nigerian artists.","27/29 Kings George V Road, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Gemini%20Art%20Gallery%2C%2027/29%20Kings%20George%20V%20Road%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.446734999999999,3.4055143,https://geminiart27.com,+2348023936743,Raphola2000@yahoo.com,Mon-Sat 9am-7pm,[],Success (Google)
Goethe Institut Lagos,Art Hubs/Institutions,"German cultural institute hosting exhibitions, film screenings, and cultural programmes at Lagos City Hall.","Lagos City Hall, Catholic Mission Street, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Goethe%20Institut%20Lagos%2C%20Lagos%20City%20Hall%2C%20Catholic%20Mission%20Street%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4500525,3.397346,https://www.goethe.de/ins/ng/en/index.html,23414549515.0,,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""closed"",""sun"":""closed""}",[],Success (Google)
National Museum Lagos,Museums,Historic national museum in Onikan preserving Nigerian cultural heritage through permanent and temporary exhibitions.,"Onikan Road, Onikan, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=National%20Museum%20Lagos%2C%20Onikan%20Road%2C%20Onikan%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.444268099999999,3.4036542,,,,"{""mon"":""9am-4pm"",""tue"":""9am-4pm"",""wed"":""9am-4pm"",""thu"":""9am-4pm"",""fri"":""9am-4pm"",""sat"":""9am-4pm"",""sun"":""9am-4pm""}",[],Success (Google)
Randle Center,Art Hubs/Institutions,Historic cultural centre on Lagos Island featuring the John Randle Museum dedicated to Yoruba cultural heritage and history.,"Onikan Roundabout, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Randle%20Center%2C%20Onikan%20Roundabout%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.4433869,3.4027978,,,,,[],Success (Google)
Truview Art and Frames Gallery,Art Galleries,"Permanent-display art and frames gallery in the City Mall, Onikan, run by Juwon Olusanya. Note: a 2019 news article listed it among Lagos galleries reported closed/gone virtual-only — current operating status has not been independently reconfirmed.","Shop F15, City Mall, Onikan, Lagos",https://www.google.com/maps/search/?api=1&query=Truview%20Art%20and%20Frames%20Gallery%2C%20Shop%20F15%2C%20City%20Mall%2C%20Onikan%2C%20Lagos,ISLAND,Lagos Island,6.44405,3.40264,http://www.truviewartgallery.com,08033228098,jolusanya@hotmail.com,,[],Success (Google)
Abstract Strokes,Art Galleries,Art gallery in the VGC Lekki shopping complex featuring permanent displays of contemporary Nigerian art.,"Suite H209/210, Ikota Shopping Complex, VGC, Lekki, Lagos",https://www.google.com/maps/search/?api=1&query=Abstract%20Strokes%2C%20Suite%20H209/210%2C%20Ikota%20Shopping%20Complex%2C%20VGC%2C%20Lekki%2C%20Lagos,ISLAND,Lekki,6.4653933,3.5557886,,2348033328306.0,,"{""mon"":""10am-7pm"",""tue"":""10am-7pm"",""wed"":""10am-7pm"",""thu"":""10am-7pm"",""fri"":""10am-7pm"",""sat"":""10am-7pm"",""sun"":""12pm-6pm""}",[],Success (Google)
AMG Projects,Art Galleries,Contemporary art gallery space in Lekki Phase 1 hosting temporary exhibitions by Nigerian and African artists.,"24 Rasheed Alaba Williams, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=AMG%20Projects%2C%2024%20Rasheed%20Alaba%20Williams%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4433627,3.4622406,https://amgprojects.art,2347041005222.0,info@amgprojects.art,"{""mon"":""closed"",""tue"":""11am-6pm"",""wed"":""11am-6pm"",""thu"":""11am-6pm"",""fri"":""11am-6pm"",""sat"":""11am-6pm"",""sun"":""closed""}",[],Success (Google)
Awizzy Online Art Gallery,Art Galleries,"Online-oriented art gallery/studio run by visual artist Ayeola Ayodeji Abiodun (""Awizzy""), based in Ajah; sells paintings, portraits, drawings, sculptures, graphics, with delivery for buyers who cannot visit.","No 5, Kasim Momodu Street, Ajah, Lagos",https://www.google.com/maps/search/?api=1&query=Awizzy%20Online%20Art%20Gallery%2C%20No%205%2C%20Kasim%20Momodu%20Street%2C%20Ajah%2C%20Lagos,ISLAND,Lekki,6.4673534,3.5924291,http://www.awizzy.net,+2347039409847,info@awizzy.net,,[],Success (Google)
Baroyet Art Studio,Art Hubs/Institutions,Art studio and gallery in Lekki Phase 1 featuring permanent displays and original artworks by Nigerian artists.,"16 Omorinre-Johnson Street, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Baroyet%20Art%20Studio%2C%2016%20Omorinre-Johnson%20Street%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4364265,3.4621706,https://baroyet.com,2348032168019.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[],Success (Google)
Eddy Art Studio,Art Galleries,Artist shop/studio at the Elegushi Art Market selling paintings and craft works.,"Shop VIP 12, Elegushi Art Market, Jakande Estate, Eti-Osa, Lagos",https://www.google.com/maps/search/?api=1&query=Eddy%20Art%20Studio%2C%20Shop%20VIP%2012%2C%20Elegushi%20Art%20Market%2C%20Jakande%20Estate%2C%20Eti-Osa%2C%20Lagos,ISLAND,Lekki,6.434931,3.5059888,,0803 917 8505,,,[],Success (Google)
Fobally Art World Africa,Art Galleries,Contemporary African art gallery and online marketplace in Lekki connecting African artists (including modern-era masters and emerging talent) with collectors; also runs an art foundation and school art competitions.,"3 Obi Achebe Drive, Ikate, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Fobally%20Art%20World%20Africa%2C%203%20Obi%20Achebe%20Drive%2C%20Ikate%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4263923,3.4787317,https://foballyartworld.com,08149313658,onboarding@foballyartworld.com,,[],Success (Google)
Iwalewa Gallery of Arts,Art Galleries,"Three-floor contemporary African art gallery in Lekki Phase 1 founded by artist/curator Femi Williams, with a large collection and an attached restaurant/bar. Distinct from the Iwalewahaus in Bayreuth, Germany.","29A Chris Madueke Drive, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Iwalewa%20Gallery%20of%20Arts%2C%2029A%20Chris%20Madueke%20Drive%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.440808100000001,3.4613684,https://iwalewagallery.com,+2348063759134,info@iwalewagallery.com,,[],Success (Google)
Lekki Art Market,Art Hubs/Institutions,"Open-air market (also called Jakande Market / Oba Elegushi Market) where independent vendors sell African arts and crafts: paintings, sculptures, wood and metal works, textiles, jewelry.","Oba Elegushi Street, off Lekki-Epe Expressway (between 4th and 5th Roundabout), Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Lekki%20Art%20Market%2C%20Oba%20Elegushi%20Street%2C%20off%20Lekki-Epe%20Expressway%20%28between%204th%20and%205th%20Roundabout%29%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4342187,3.5058731,,,,Daily ~9am-6pm (verify),[],Success (Google)
Nike Art Gallery,Art Galleries,"West Africa's largest art gallery owned by Chief Nike Davies-Okundaye, housing over 8000 artworks across five floors. Offers workshops, cultural performances, and bed & breakfast.","2 Nike Art Gallery Rd, Lekki Phase I, Lagos",https://www.google.com/maps/search/?api=1&query=Nike%20Art%20Gallery%2C%202%20Nike%20Art%20Gallery%20Rd%2C%20Lekki%20Phase%20I%2C%20Lagos,ISLAND,Lekki,6.4315071,3.4818389,https://nikeartfoundation.com,2348033036969.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""1pm-6pm""}",[],Success (Google)
Olori Art Foundation,Art Hubs/Institutions,"Multi-level creative hub in Lekki founded in 2021 by Aina Davies, combining an art gallery, cafe, and workshop space (painting, Adire, craft).","139 Josemaria Escriva St, Lekki, Lagos 106104 (behind Nike Art Gallery)",https://www.google.com/maps/search/?api=1&query=Olori%20Art%20Foundation%2C%20139%20Josemaria%20Escriva%20St%2C%20Lekki%2C%20Lagos%20106104%20%28behind%20Nike%20Art%20Gallery%29,ISLAND,Lekki,6.4311701,3.4813254,https://www.oloriart.com,08039904544,,,[],Success (Google)
Pendulum Art Gallery,Art Galleries,"Long-running Lagos gallery (opened late 1990s) focused on culture and development, hosting exhibitions and events tied to art and visual culture.","7 Unity Close, Off Admiralty Road, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Pendulum%20Art%20Gallery%2C%207%20Unity%20Close%2C%20Off%20Admiralty%20Road%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.4538665,3.470212,,+2341 2705968,,,[],Success (Google)
Sachs Gallery,Art Galleries,Art gallery in Lekki Phase 1 by Bernie Umeri-Mjalli featuring permanent displays of fine art.,"6 Admiralty Road, Lekki Phase 1, Lagos",https://www.google.com/maps/search/?api=1&query=Sachs%20Gallery%2C%206%20Admiralty%20Road%2C%20Lekki%20Phase%201%2C%20Lagos,ISLAND,Lekki,6.457129399999999,3.4709133,,2348033100306.0,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}",[],Success (Google)
